"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3417","verifyCartAfterRefreshing","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","verifyCartAfterRefreshing"
"","439","TC-W18 [EDGE]: Browser back button preserves wishlist heart states","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W18_browserBackPreservesWishlistState"
"","4361","increaseAndDecreaseProdQuality","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","increaseAndDecreaseProdQuality"
"","510","TC-W07: Wishlist displays correct product name, price, and image","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W07_wishlistDisplaysCorrectDetails"
"","382","addingMultipleProduct","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","addingMultipleProduct"
"","251","verifyContinueShoppingNavigation","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","verifyContinueShoppingNavigation"
"","519","TC-W16: Clicking a wishlist item navigates to product detail page","ParallelSuite","2026-09-16","failed","2026-09-16","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W16_clickingWishlistItemNavigatesToDetail"
"","335","costCalculationCheck","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC07_Checkout","Regression","Trello_TestScript.TC07_Checkout","costCalculationCheck"
"","578","TC-W04: Add product to wishlist from product detail page","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W04_addToWishlistFromDetailPage"
"","594","TC-W13: Wishlist persists after page refresh","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC03_Wishlist","Regression","Trello_TestScript.TC03_Wishlist","TC_W13_wishlistPersistsAfterRefresh"
"","1202","addSingleProductToCart","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC02_Cart","Regression","Trello_TestScript.TC02_Cart","addSingleProductToCart"
"","395","navigateBackToCart","ParallelSuite","2026-09-16","passed","2026-09-16","Trello_TestScript.TC07_Checkout","Regression","Trello_TestScript.TC07_Checkout","navigateBackToCart"
